tweet_id,hashtag
1470852994552012808,BoycottKelloggs
1470852841610698753,BoycottKelloggs
1470852841610698753,WeThePeople
1470852841610698753,PopTarts
1470852841610698753,RaisinBran
1470852841610698753,PayAttention
1470852841610698753,LocalGovMatters
1470852841610698753,TagCorruption
1470852663596126208,BoycottKelloggs
1470852659984969742,KelloggStrike
1470852287249666056,KelloggStrike
1470852287249666056,DumpKelloggs
1470851798944657408,KelloggsStrike
1470851798944657408,BoycottKelloggs
1470851670921809920,BoycottKelloggs
1470851131010076683,KelloggsStrike
1470850871751700481,BoycottKelloggs
1470850559347290113,KelloggsStrike
1470849502462595072,GeneralStrike
1470849502462595072,kelloggstrike
1470849482849882115,KelloggMemeChallenge
1470849482849882115,KelloggsStrike
1470849482849882115,Kelloggmeme
1470849455146496001,KelloggsStrike
1470848839997296643,Kelloggs
1470848839997296643,union
1470848839997296643,BoycottKelloggs
1470848065116409856,BoycottKelloggs
1470847766767230983,BoycottKelloggs
1470847322384912392,BoycottKelloggs
1470847034475171841,BoycottKelloggs
1470846721563324419,Kelloggs
1470846721563324419,KelloggsStrike
1470846622129131522,BoycottKelloggs
1470846436837265408,BoycottKelloggs
1470846097102970889,NewProfilePic
1470846097102970889,StrikeMas
1470846097102970889,KelloggStrike
1470846097102970889,1u
1470845499515105281,BoycottKelloggs
1470845216139657219,KelloggsStrike
1470845141380255746,BoycottKelloggs
1470845141380255746,NoRiceKrispieTreats
1470844953882505219,BoycottKelloggs
1470844752153174020,BoycottKelloggs
1470844442126991365,BoycottKelloggs
1470844222571835396,BoycottKelloggs
1470844140699140109,BoycottKelloggs
1470844070893592576,followforfollow
1470843976819351554,BoycottKelloggs
1470843976819351554,EEs
1470843976819351554,Kelloggs
1470843976819351554,Disgraceful
1470843653493035009,BoycottKelloggs
1470843265431838733,KelloggStrike
1470843265431838733,1u
1470843265431838733,Solidarity
1470842457072062473,BoycottKelloggs
1470842345012801539,GeneralStrike
1470842345012801539,kelloggstrike
1470842333423800323,kelloggstrike
1470842333423800323,DumpKelloggs
1470842193724289030,BoycottKelloggs
1470842064287895554,BoycottKelloggs
1470841579330023430,BoycottKelloggs
1470841434295226377,BoycottKelloggs
1470841392452849664,GeneralStrike
1470841392452849664,kelloggstrike
1470840363992727565,BoycottKelloggs
1470840087457845249,LaborSmacks
1470840087457845249,BoycottKelloggs
1470839615552733191,boycottKelloggs
1470839245560557570,boycottKelloggs
1470839088311844864,BoycottKelloggs
1470838921554767879,Siguemeytesigo
1470838921554767879,Followback
1470838921554767879,News
1470838921554767879,SDV
1470838708026884100,BoycottKelloggs
1470838072451416067,Kelloggs
1470838072451416067,WorkersRights
1470838013798322180,Kelloggs
1470837968629903360,Kelloggs
1470837891647647750,BattleCreek
1470837891647647750,Kelloggs
1470837674697113602,KelloggsStrike
1470837674697113602,BoycottKelloggs
1470837553716736013,BoycottKelloggs
1470837441531719694,BoycottKelloggs
1470837419633168386,BoycottKelloggs
1470837419633168386,BoycottToyota
1470837299365744654,BoycottKelloggs
1470836926911373317,KelloggsStrike
1470836870196219907,GeneralStrike
1470836870196219907,kelloggstrike
1470836722963562508,KelloggsStrike
1470836670920462337,TikTok
1470836670920462337,Kelloggs
1470836670920462337,KelloggsStrike
1470836490502504450,KelloggsStrike
1470836444797169665,BoycottKelloggs
1470836333799170051,KelloggsStrike
1470836320431861761,BoycottKelloggs
1470835630439645192,BoycottKelloggs
1470835630439645192,UnionStrong
1470835130642092047,KelloggsStrike
1470834711174000647,BoycottKelloggs
1470834218708062210,BoycottKelloggs
1470833808576430081,FreeAssange
1470833808576430081,freealexienavaly
1470833808576430081,GOPCoup
1470833808576430081,FoxNews
1470833808576430081,Evil
1470833808576430081,demexit
1470833808576430081,Jan6thCommittee
1470833808576430081,Treason
1470833808576430081,CNN
1470833808576430081,BoycottKelloggs
1470833808576430081,Maddow
1470833553088856074,BoycottKelloggs
1470832508929396738,KelloggStrike
1470832224887058436,kelloggstrike
1470832224887058436,unionyes
1470831115904630788,kelloggsstrike
1470830875440910338,KelloggsStrike
1470830874648264710,KelloggStrike
1470830770528862220,KelloggStrike
1470830724869730310,BoycottKelloggs
1470830686881808384,KelloggStrike
1470830424268050432,BoycottKelloggs
1470830046067798017,KelloggsStrike
1470829991541673986,Kelloggs
1470829991541673986,KelloggsStrike
1470829990052728833,Kelloggs
1470829990052728833,KelloggsStrike
1470829988546940931,Kelloggs
1470829988546940931,KelloggsStrike
1470829987016048646,Kelloggs
1470829987016048646,KelloggsStrike
1470829985246048261,Kelloggs
1470829985246048261,WorkersRights
1470829985246048261,thread
1470829985246048261,Health
1470829985246048261,RightToKnow
1470829985246048261,KelloggsStrike
1470829764512342017,BoycottKelloggs
1470829699718737924,BoycottKelloggs
1470829374312230925,BoycottKelloggs
1470828514060427268,KelloggStrike
1470828173764046858,NYC
1470827860864782341,KelloggStrike
1470827618203312136,KelloggsStrike
1470827618203312136,BoycottKelloggs
1470827618203312136,SolidarityForever
1470827618203312136,1u
1470826185516982278,BoycottKelloggs
1470826100150263809,BoycottKelloggs
1470825784700911621,BoycottKelloggs
1470825784700911621,KelloggsBoycott
1470825784700911621,DumpKelloggs
1470825784700911621,Solidarity
1470825784700911621,KelloggStrike
1470825784700911621,NoMoreCorporateGreed
1470825583605071885,BoycottKelloggs
1470825277789917188,BoycottKelloggs
1470825149259788295,KelloggStrike
1470824954878906370,BoycottKelloggs
1470824925543878658,BoycottKelloggs
1470824923417305090,Christmas
1470824923417305090,Kelloggs
1470824736976510987,KelloggStrike
1470824568659091462,KelloggsStrike
1470824473037357058,solidarity
1470824473037357058,1u
1470824473037357058,KellogsStrike
1470824473037357058,KelloggsStrike
1470824460890611723,KelloggsStrike
1470824446822785027,BoycottKelloggs
1470824432448978948,BoycottKelloggs
1470824344096018432,kelloggstrike
1470824247136296972,BoycottKelloggs
1470823913890488320,BoycottKelloggs
1470823709682319364,boycottKelloggs
1470823662236356615,BoycottKelloggs
1470823101915148290,BoycottKelloggs
1470823088631779340,BoycottKelloggs
1470822828383608832,BoycottKelloggs
1470822786490941444,BoycottKelloggs
1470822736507424773,KelloggsStrike
1470822736507424773,kelloggstrike
1470822592340799491,boycottKelloggs
1470822555040854023,KelloggStrike
1470822436283334670,politics
1470822436283334670,feedly
1470822310416461826,KelloggStrike
1470822212357836803,BoycottKelloggs
1470822212357836803,boycottGM
1470822212357836803,boycottPalmOil
1470822081646501899,BoycottKelloggs
1470821980483960833,KelloggStrike
1470821758555021318,BoycottKelloggs
1470821632373506054,KelloggsStrike
