tweet_id,referenced_tweet_id,type
1470867826525315077,1470811909452615683,retweeted
1470867786289274885,1470811909452615683,retweeted
1470867691107934215,1470811909452615683,quoted
1470867654214922244,1470473764521586689,retweeted
1470867496718774276,1469432406897831938,retweeted
1470867484911624193,1470811909452615683,retweeted
1470867356603731968,1470811909452615683,retweeted
1470867343332892673,1470502302108762121,retweeted
1470867336345313304,1469432406897831938,retweeted
1470867279416111114,1470811909452615683,retweeted
1470867269311938560,1470865840912404481,retweeted
1470867125103259652,1470861367724892166,retweeted
1470867068203511812,1470831152764227584,retweeted
1470866934459961344,1470831152764227584,retweeted
1470866887131209734,1470858640244441090,replied_to
1470866881053605903,1470823662236356615,retweeted
1470866857255002112,1470270989300682752,retweeted
1470866816176164866,1470808891839574021,retweeted
1470866742931034119,1470848990560366596,retweeted
1470866650962481156,1469432406897831938,retweeted
1470866638656344066,1470752302906621963,retweeted
1470866598961598473,1470811909452615683,retweeted
1470866574538158084,1468792016393879556,retweeted
1470866510818258944,1470855692164632576,retweeted
1470866442409201678,1468600137882779650,retweeted
1470866439166992384,1470855692164632576,retweeted
1470866370686595081,1470070477527793665,retweeted
1470866240491057154,1470831152764227584,retweeted
1470866165538779141,1470811909452615683,retweeted
1470866100543967237,1470831152764227584,retweeted
1470865985318047747,1468600137882779650,retweeted
1470865933241511936,1470533111012331527,retweeted
1470865885464186882,1470865840912404481,retweeted
1470865840912404481,1470529590430892033,quoted
1470865812768522241,1470811909452615683,retweeted
1470865739041099785,1470824954878906370,retweeted
1470865334202773506,1470831152764227584,retweeted
1470865277269250053,1469777002190233604,retweeted
1470865241428967424,1469754493730492423,retweeted
1470865213012332544,1470109582315900936,retweeted
1470865212660088837,1470115738702729218,retweeted
1470865166912790531,1470788754994434050,retweeted
1470865110147256336,1470856004187349018,retweeted
1470865077830139913,1470831152764227584,retweeted
1470865074663350273,1470811909452615683,retweeted
1470865045009670156,1470811909452615683,retweeted
1470865013350932480,1470811909452615683,retweeted
1470865009026682880,1470855692164632576,retweeted
1470864966362275851,1470833015765057539,replied_to
1470864919532916741,1470763776957988874,retweeted
1470864908044673033,1470864649193201669,retweeted
1470864707800158211,1470831152764227584,retweeted
1470864707539988481,1470831152764227584,retweeted
1470864702930657280,1470814505198239744,retweeted
1470864644541763586,1470811909452615683,retweeted
1470864643807752192,1470752302906621963,retweeted
1470864566078869516,1470863968524591104,retweeted
1470864550639591427,1469432406897831938,retweeted
1470864520641921028,1470811909452615683,retweeted
1470864428476387338,1469777002190233604,retweeted
1470864395156832262,1470811909452615683,retweeted
1470864338160287747,1470831152764227584,retweeted
1470864306262708227,1470772265180708867,retweeted
1470864290932350976,1267653886346575872,quoted
1470864268815917062,1470857970791723012,retweeted
1470864255633149962,1470855692164632576,retweeted
1470864193897312270,1470855692164632576,retweeted
1470864067984171008,1470848990560366596,retweeted
1470864051316346883,1470855692164632576,retweeted
1470863945502277643,1470811909452615683,retweeted
1470863694133280769,1470831152764227584,retweeted
1470863644497960962,1470831152764227584,retweeted
1470863625904705539,1470773430542901259,retweeted
1470863305296297988,1470156603244654594,retweeted
1470863289051598848,1470861367724892166,retweeted
1470863242775838720,1470811909452615683,retweeted
1470863232059408384,1470811909452615683,retweeted
1470863197506879491,1470818010571194375,retweeted
1470863152803942409,1470831152764227584,retweeted
1470863116200075267,1470808712935784464,retweeted
1470863114459656205,1469031094842544141,retweeted
1470863076517826560,1470855692164632576,retweeted
1470862992585551873,1470855692164632576,retweeted
1470862967545737219,1470811909452615683,retweeted
1470862657406205957,1469432406897831938,retweeted
1470862656559099904,1470808502318870532,quoted
1470862593602605057,1469432406897831938,retweeted
1470862555535093769,1470797902406582278,retweeted
1470862521972183041,1470832308622143494,retweeted
1470862371711184898,1470837820684046337,quoted
1470862311703339008,1470831152764227584,retweeted
1470862302614274055,1470855692164632576,retweeted
1470862129129426944,1469432406897831938,retweeted
1470862104034897921,1470831152764227584,retweeted
1470862065958932483,1470831152764227584,retweeted
1470861992571269125,1470776493546655754,retweeted
1470861947994206208,1469417376231866375,retweeted
1470861885507620875,1470848990560366596,retweeted
1470861830771949572,1468966619997097990,retweeted
1470861780746395651,1470831152764227584,retweeted
1470861705236336648,1470861367724892166,retweeted
1470861664601923593,1470861662559293442,replied_to
1470861656091762691,1470848990560366596,retweeted
1470861632431611919,1470831152764227584,retweeted
1470861608415109126,1470860006815932418,retweeted
1470861570217496576,1470811909452615683,retweeted
1470861457633861635,1470732498460106757,retweeted
1470861438264610816,1470831152764227584,quoted
1470861411802927105,1469432406897831938,retweeted
1470861392135671810,1470861367724892166,retweeted
1470861375660597253,1470658089321914370,retweeted
1470861373127073796,1470848990560366596,retweeted
1470861344748490755,1470528249876738053,quoted
1470861344429813764,1470860521444450305,replied_to
1470861340512194560,1470858486099681283,retweeted
1470861257209221128,1470811909452615683,retweeted
1470861175965589508,1469432406897831938,retweeted
1470861165614059531,1470860300173950978,retweeted
1470861068020817920,1470848990560366596,retweeted
1470860970037858311,1470855692164632576,retweeted
1470860901318340619,1470857970791723012,retweeted
1470860803528007682,1470781891611697154,retweeted
1470860783110307840,1470530362250043394,retweeted
1470860780929265667,1470529590430892033,replied_to
1470860774377607170,1469481952046718981,quoted
1470860650754625538,1470528249876738053,quoted
1470860591988412416,1470831152764227584,quoted
1470860530789208068,1470831152764227584,retweeted
1470860511977906177,1470831152764227584,retweeted
