tweet_id,hashtag
1469108578778849283,"[{'end': 58, 'start': 43, 'tag': 'KelloggsStrike'}, {'end': 70, 'start': 59, 'tag': 'Solidarity'}, {'end': 74, 'start': 71, 'tag': '1u'}, {'end': 102, 'start': 90, 'tag': 'UnionStrong'}]"
1469108578778849283,"[{'end': 58, 'start': 43, 'tag': 'KelloggsStrike'}, {'end': 70, 'start': 59, 'tag': 'Solidarity'}, {'end': 74, 'start': 71, 'tag': '1u'}, {'end': 102, 'start': 90, 'tag': 'UnionStrong'}]"
1469108551444541440,"[{'end': 142, 'start': 130, 'tag': 'UnionStrong'}, {'end': 157, 'start': 143, 'tag': 'kelloggstrike'}]"
1469108551444541440,"[{'end': 142, 'start': 130, 'tag': 'UnionStrong'}, {'end': 157, 'start': 143, 'tag': 'kelloggstrike'}]"
1469108514861715458,"[{'end': 35, 'start': 19, 'tag': 'BoycottKelloggs'}, {'end': 140, 'start': 115, 'tag': 'UnionsMadeTheMiddleClass'}, {'end': 153, 'start': 141, 'tag': 'UnionStrong'}]"
1469108514861715458,"[{'end': 35, 'start': 19, 'tag': 'BoycottKelloggs'}, {'end': 140, 'start': 115, 'tag': 'UnionsMadeTheMiddleClass'}, {'end': 153, 'start': 141, 'tag': 'UnionStrong'}]"
1469108514861715458,"[{'end': 35, 'start': 19, 'tag': 'BoycottKelloggs'}, {'end': 140, 'start': 115, 'tag': 'UnionsMadeTheMiddleClass'}, {'end': 153, 'start': 141, 'tag': 'UnionStrong'}]"
1469108354110959621,"[{'end': 30, 'start': 21, 'tag': 'kelloggs'}]"
1469108343298007046,"[{'end': 33, 'start': 17, 'tag': 'BoycottKelloggs'}]"
1469108261311987714,"[{'end': 61, 'start': 46, 'tag': 'boycottkellogg'}, {'end': 98, 'start': 83, 'tag': 'KelloggsStrike'}]"
1469108261311987714,"[{'end': 61, 'start': 46, 'tag': 'boycottkellogg'}, {'end': 98, 'start': 83, 'tag': 'KelloggsStrike'}]"
1469107666891022338,"[{'end': 122, 'start': 106, 'tag': 'boycottKelloggs'}]"
1469107381988638720,"[{'end': 53, 'start': 37, 'tag': 'BoycottKelloggs'}]"
1469107176883068934,"[{'end': 122, 'start': 106, 'tag': 'boycottKelloggs'}]"
1469107043541798912,"[{'end': 47, 'start': 31, 'tag': 'BoycottKelloggs'}]"
1469106857709121544,"[{'end': 122, 'start': 106, 'tag': 'boycottKelloggs'}]"
1469106809403174913,"[{'end': 97, 'start': 81, 'tag': 'BoycottKelloggs'}]"
1469106586341629953,"[{'end': 122, 'start': 106, 'tag': 'boycottKelloggs'}]"
1469106448009506820,"[{'end': 122, 'start': 106, 'tag': 'boycottKelloggs'}]"
1469106324634054657,"[{'end': 249, 'start': 233, 'tag': 'BoycottKelloggs'}, {'end': 264, 'start': 250, 'tag': 'KelloggStrike'}, {'end': 280, 'start': 265, 'tag': 'KelloggsStrike'}]"
1469106324634054657,"[{'end': 249, 'start': 233, 'tag': 'BoycottKelloggs'}, {'end': 264, 'start': 250, 'tag': 'KelloggStrike'}, {'end': 280, 'start': 265, 'tag': 'KelloggsStrike'}]"
1469106324634054657,"[{'end': 249, 'start': 233, 'tag': 'BoycottKelloggs'}, {'end': 264, 'start': 250, 'tag': 'KelloggStrike'}, {'end': 280, 'start': 265, 'tag': 'KelloggsStrike'}]"
1469106234926243844,"[{'end': 72, 'start': 57, 'tag': 'KelloggsStrike'}]"
1469106185836310528,"[{'end': 72, 'start': 57, 'tag': 'KelloggsStrike'}]"
1469106088922521600,"[{'end': 122, 'start': 106, 'tag': 'boycottKelloggs'}]"
1469106048371933185,"[{'end': 122, 'start': 106, 'tag': 'boycottKelloggs'}]"
1469105998791163908,"[{'end': 122, 'start': 106, 'tag': 'boycottKelloggs'}]"
1469105356295053316,"[{'end': 51, 'start': 35, 'tag': 'BoycottKelloggs'}]"
1469105234362482691,"[{'end': 72, 'start': 57, 'tag': 'KelloggsStrike'}]"
1469104387393949698,"[{'end': 122, 'start': 106, 'tag': 'boycottKelloggs'}]"
1469104314887061504,"[{'end': 59, 'start': 43, 'tag': 'BoycottKelloggs'}]"
1469104287980605440,"[{'end': 47, 'start': 31, 'tag': 'BoycottKelloggs'}]"
1469104202572046336,"[{'end': 74, 'start': 58, 'tag': 'BoycottKelloggs'}]"
1469103681232457729,"[{'end': 109, 'start': 93, 'tag': 'BoycottKelloggs'}]"
1469102887175274498,"[{'end': 31, 'start': 20, 'tag': 'Solidarity'}, {'end': 47, 'start': 32, 'tag': 'KelloggsStrike'}, {'end': 64, 'start': 48, 'tag': 'BoycottKelloggs'}, {'end': 77, 'start': 65, 'tag': 'UnionStrong'}]"
1469102887175274498,"[{'end': 31, 'start': 20, 'tag': 'Solidarity'}, {'end': 47, 'start': 32, 'tag': 'KelloggsStrike'}, {'end': 64, 'start': 48, 'tag': 'BoycottKelloggs'}, {'end': 77, 'start': 65, 'tag': 'UnionStrong'}]"
1469102887175274498,"[{'end': 31, 'start': 20, 'tag': 'Solidarity'}, {'end': 47, 'start': 32, 'tag': 'KelloggsStrike'}, {'end': 64, 'start': 48, 'tag': 'BoycottKelloggs'}, {'end': 77, 'start': 65, 'tag': 'UnionStrong'}]"
1469102887175274498,"[{'end': 31, 'start': 20, 'tag': 'Solidarity'}, {'end': 47, 'start': 32, 'tag': 'KelloggsStrike'}, {'end': 64, 'start': 48, 'tag': 'BoycottKelloggs'}, {'end': 77, 'start': 65, 'tag': 'UnionStrong'}]"
1469102562137673730,"[{'end': 122, 'start': 106, 'tag': 'boycottKelloggs'}]"
1469102560850194432,"[{'end': 45, 'start': 29, 'tag': 'BoycottKelloggs'}]"
1469102346672263169,"[{'end': 15, 'start': 0, 'tag': 'KelloggsStrike'}, {'end': 25, 'start': 16, 'tag': 'kelloggs'}]"
1469102346672263169,"[{'end': 15, 'start': 0, 'tag': 'KelloggsStrike'}, {'end': 25, 'start': 16, 'tag': 'kelloggs'}]"
1469102286077112329,"[{'end': 45, 'start': 29, 'tag': 'BoycottKelloggs'}]"
1469102219941216256,"[{'end': 23, 'start': 7, 'tag': 'BoycottKelloggs'}]"
1469101636874350592,"[{'end': 122, 'start': 106, 'tag': 'boycottKelloggs'}]"
1469101470880460801,"[{'end': 144, 'start': 128, 'tag': 'BoycottKelloggs'}]"
1469101397916459008,"[{'end': 73, 'start': 58, 'tag': 'KelloggsStrike'}]"
1469101042793009152,"[{'end': 16, 'start': 0, 'tag': 'BoycottKelloggs'}]"
1469100952766537728,"[{'end': 122, 'start': 106, 'tag': 'boycottKelloggs'}]"
1469100662051020804,"[{'end': 28, 'start': 14, 'tag': 'BoycottKellog'}, {'end': 60, 'start': 45, 'tag': 'KelloggsStrike'}]"
1469100662051020804,"[{'end': 28, 'start': 14, 'tag': 'BoycottKellog'}, {'end': 60, 'start': 45, 'tag': 'KelloggsStrike'}]"
1469100475463069697,"[{'end': 16, 'start': 0, 'tag': 'BoycottKelloggs'}]"
1469100268801466370,"[{'end': 11, 'start': 0, 'tag': 'Solidarity'}, {'end': 27, 'start': 12, 'tag': 'KelloggsStrike'}, {'end': 44, 'start': 28, 'tag': 'BoycottKelloggs'}, {'end': 57, 'start': 45, 'tag': 'UnionStrong'}]"
1469100268801466370,"[{'end': 11, 'start': 0, 'tag': 'Solidarity'}, {'end': 27, 'start': 12, 'tag': 'KelloggsStrike'}, {'end': 44, 'start': 28, 'tag': 'BoycottKelloggs'}, {'end': 57, 'start': 45, 'tag': 'UnionStrong'}]"
1469100268801466370,"[{'end': 11, 'start': 0, 'tag': 'Solidarity'}, {'end': 27, 'start': 12, 'tag': 'KelloggsStrike'}, {'end': 44, 'start': 28, 'tag': 'BoycottKelloggs'}, {'end': 57, 'start': 45, 'tag': 'UnionStrong'}]"
1469100268801466370,"[{'end': 11, 'start': 0, 'tag': 'Solidarity'}, {'end': 27, 'start': 12, 'tag': 'KelloggsStrike'}, {'end': 44, 'start': 28, 'tag': 'BoycottKelloggs'}, {'end': 57, 'start': 45, 'tag': 'UnionStrong'}]"
1469100197779316746,"[{'end': 39, 'start': 23, 'tag': 'BoycottKelloggs'}]"
1469100172030451714,"[{'end': 32, 'start': 16, 'tag': 'BoycottKelloggs'}]"
1469100104573456386,"[{'end': 92, 'start': 76, 'tag': 'BoycottKelloggs'}]"
1469100088106668038,"[{'end': 117, 'start': 101, 'tag': 'BoycottKelloggs'}]"
1469099738616139778,"[{'end': 122, 'start': 106, 'tag': 'boycottKelloggs'}]"
1469099679472254976,"[{'end': 271, 'start': 255, 'tag': 'BoycottKelloggs'}]"
1469098916469694466,"[{'end': 30, 'start': 21, 'tag': 'Kelloggs'}, {'end': 46, 'start': 31, 'tag': 'KelloggsStrike'}]"
1469098916469694466,"[{'end': 30, 'start': 21, 'tag': 'Kelloggs'}, {'end': 46, 'start': 31, 'tag': 'KelloggsStrike'}]"
1469098818796929031,"[{'end': 122, 'start': 106, 'tag': 'boycottKelloggs'}]"
1469098724085350408,"[{'end': 78, 'start': 63, 'tag': 'KelloggsStrike'}]"
1469098704456069125,"[{'end': 67, 'start': 52, 'tag': 'KelloggsStrike'}]"
1469098548042080259,"[{'end': 43, 'start': 27, 'tag': 'boycottKelloggs'}]"
1469098544644571138,"[{'end': 36, 'start': 20, 'tag': 'BoycottKelloggs'}]"
1469098540442034182,"[{'end': 122, 'start': 106, 'tag': 'boycottKelloggs'}]"
1469098337727131653,"[{'end': 73, 'start': 57, 'tag': 'BoycottKelloggs'}]"
1469098230885539847,"[{'end': 89, 'start': 74, 'tag': 'KelloggsStrike'}, {'end': 99, 'start': 90, 'tag': 'pringles'}, {'end': 109, 'start': 100, 'tag': 'poptarts'}, {'end': 122, 'start': 110, 'tag': 'unionstrong'}]"
1469098230885539847,"[{'end': 89, 'start': 74, 'tag': 'KelloggsStrike'}, {'end': 99, 'start': 90, 'tag': 'pringles'}, {'end': 109, 'start': 100, 'tag': 'poptarts'}, {'end': 122, 'start': 110, 'tag': 'unionstrong'}]"
1469098230885539847,"[{'end': 89, 'start': 74, 'tag': 'KelloggsStrike'}, {'end': 99, 'start': 90, 'tag': 'pringles'}, {'end': 109, 'start': 100, 'tag': 'poptarts'}, {'end': 122, 'start': 110, 'tag': 'unionstrong'}]"
1469098230885539847,"[{'end': 89, 'start': 74, 'tag': 'KelloggsStrike'}, {'end': 99, 'start': 90, 'tag': 'pringles'}, {'end': 109, 'start': 100, 'tag': 'poptarts'}, {'end': 122, 'start': 110, 'tag': 'unionstrong'}]"
1469098207032627201,"[{'end': 30, 'start': 14, 'tag': 'BoycottKelloggs'}]"
1469098159289028608,"[{'end': 60, 'start': 45, 'tag': 'KelloggsStrike'}]"
1469097920704114695,"[{'end': 154, 'start': 138, 'tag': 'BoycottKelloggs'}]"
1469097680278278146,"[{'end': 147, 'start': 131, 'tag': 'BoycottKelloggs'}]"
1469097469388722181,"[{'end': 15, 'start': 0, 'tag': 'KelloggsStrike'}]"
1469097453743972352,"[{'end': 25, 'start': 9, 'tag': 'BoycottKelloggs'}]"
1469097320599863297,"[{'end': 122, 'start': 106, 'tag': 'boycottKelloggs'}]"
